logged_utc,timeframe,bar_time,direction,entry_ref,sl_ref,tp_ref,rr,status,result_R,closed_utc
2026-07-30 10:15:16,15M,2026-07-30 10:05:10,LONG,4123.50,4109.40,4144.66,1.50,WIN,+1.50,2026-07-30 12:30:00
2026-07-30 11:00:09,1H,2026-07-30 10:50:05,LONG,4138.50,4107.29,4185.32,1.50,LOSS,-1.00,2026-07-31 09:00:00
2026-07-30 12:45:17,15M,2026-07-30 12:35:15,LONG,4132.20,4119.15,4151.77,1.50,WIN,+1.50,2026-07-30 13:30:00
2026-07-30 14:30:08,15M,2026-07-30 14:20:07,LONG,4150.10,4131.71,4177.68,1.50,WIN,+1.50,2026-07-30 16:15:00
2026-07-30 20:15:01,15M,2026-07-30 20:04:59,LONG,4176.70,4164.77,4194.59,1.50,LOSS,-1.00,2026-07-30 20:30:00
2026-07-31 00:00:14,4H,2026-07-30 20:00:00,LONG,4166.60,4109.96,4251.56,1.50,LOSS,-1.00,2026-07-31 08:00:00
2026-07-31 10:00:04,15M,2026-07-31 09:50:01,SHORT,4112.60,4121.48,4099.28,1.50,WIN,+1.50,2026-07-31 12:30:00
2026-07-31 13:45:09,15M,2026-07-31 13:35:07,SHORT,4089.90,4100.36,4074.20,1.50,LOSS,-1.00,2026-07-31 14:45:00
2026-07-31 15:00:16,15M,2026-07-31 14:50:15,SHORT,4100.60,4112.29,4083.07,1.50,LOSS,-1.00,2026-08-02 22:00:00
2026-08-02 23:00:21,1H,2026-08-02 22:50:17,LONG,4121.30,4098.78,4155.09,1.50,LOSS,-1.00,2026-08-03 12:00:00
2026-08-03 00:15:07,15M,2026-08-03 00:04:59,LONG,4133.40,4123.58,4148.14,1.50,LOSS,-1.00,2026-08-03 00:15:00
2026-08-03 09:45:04,15M,2026-08-03 09:34:59,SHORT,4103.10,4112.36,4089.21,1.50,LOSS,-1.00,2026-08-03 09:45:00
2026-08-03 10:00:07,15M,2026-08-03 09:50:05,SHORT,4112.50,4121.83,4098.51,1.50,WIN,+1.50,2026-08-03 12:30:00
2026-08-03 13:00:13,15M,2026-08-03 12:50:00,SHORT,4099.70,4109.23,4085.41,1.50,LOSS,-1.00,2026-08-03 13:00:00
2026-08-03 13:15:18,15M,2026-08-03 13:05:15,SHORT,4097.90,4108.72,4081.68,1.50,WIN,+1.50,2026-08-03 13:30:00
2026-08-03 14:30:09,15M,2026-08-03 14:20:08,SHORT,4086.70,4098.30,4069.30,1.50,LOSS,-1.00,2026-08-03 18:45:00
2026-08-03 20:45:13,15M,2026-08-03 20:35:04,LONG,4113.10,4105.40,4124.64,1.50,LOSS,-1.00,2026-08-03 22:00:00
2026-08-04 00:15:07,15M,2026-08-04 00:04:59,LONG,4115.30,4108.48,4125.53,1.50,LOSS,-1.00,2026-08-04 00:45:00
2026-08-04 02:00:02,15M,2026-08-04 01:50:00,LONG,4112.90,4104.39,4125.66,1.50,WIN,+1.50,2026-08-04 08:00:00
2026-08-04 08:15:09,15M,2026-08-04 08:05:06,LONG,4125.90,4117.85,4137.97,1.50,LOSS,-1.00,2026-08-04 08:15:00
2026-08-04 08:45:13,15M,2026-08-04 08:35:10,LONG,4118.80,4110.64,4131.04,1.50,LOSS,-1.00,2026-08-04 08:45:00
2026-08-04 12:15:01,15M,2026-08-04 12:04:55,LONG,4125.40,4115.21,4140.69,1.50,WIN,+1.50,2026-08-04 12:30:00
2026-08-04 13:00:16,15M,2026-08-04 12:50:13,LONG,4132.80,4121.49,4149.77,1.50,LOSS,-1.00,2026-08-04 13:00:00
2026-08-04 13:15:18,15M,2026-08-04 13:05:17,LONG,4120.90,4108.90,4138.90,1.50,WIN,+1.50,2026-08-04 13:15:00
2026-08-04 13:45:18,15M,2026-08-04 13:35:13,LONG,4142.60,4128.19,4164.21,1.50,EXPIRED,0,2026-08-04 22:00:00
2026-08-04 14:00:00,1H,2026-08-04 13:49:59,LONG,4149.80,4126.81,4184.28,1.50,LOSS,-1.00,2026-08-04 23:00:00
2026-08-05 07:45:09,15M,2026-08-05 07:35:05,LONG,4222.80,4209.92,4242.12,1.50,LOSS,-1.00,2026-08-05 10:00:00
2026-08-05 10:30:20,15M,2026-08-05 10:20:17,LONG,4217.00,4205.60,4234.10,1.50,WIN,+1.50,2026-08-05 11:15:00
2026-08-05 11:00:06,1H,2026-08-05 10:50:00,LONG,4214.20,4190.88,4249.18,1.50,WIN,+1.50,2026-08-05 11:00:00
